question,answer,difficulty,keywords
What is a neural network?,A neural network is a series of algorithms that mimic the human brain's functioning to recognize patterns and solve problems.,easy,"{""technical_terms"": [""neural"", ""network"", ""algorithm"", ""activation function"", ""backpropagation""], ""concepts"": [""patterns"", ""recognition"", ""learning"", ""deep learning"", ""neural networks""], ""implementation"": [""backpropagation"", ""activation function"", ""neural network training""], ""best_practices"": [""data preprocessing"", ""normalization"", ""data augmentation""]}"
Explain the difference between supervised and unsupervised learning.,"Supervised learning uses labeled data to train models, while unsupervised learning works with unlabeled data to find patterns.",medium,"{""technical_terms"": [""supervised"", ""unsupervised"", ""labeled data""], ""concepts"": [""training"", ""patterns"", ""unsupervised learning""], ""implementation"": [""classification"", ""clustering""], ""best_practices"": [""feature selection"", ""evaluation metrics"", ""dropout""]}"
How does a convolutional neural network (CNN) process images?,A CNN processes images by applying convolutional filters to detect spatial hierarchies in the data.,hard,"{""technical_terms"": [""convolutional"", ""filters"", ""spatial hierarchies""], ""concepts"": [""image processing"", ""hierarchies""], ""implementation"": [""convolution"", ""pooling"", ""neural network training""], ""best_practices"": [""filter size selection"", ""regularization"", ""data augmentation""]}"
What is gradient descent?,Gradient descent is an optimization algorithm used to minimize the cost function by iteratively adjusting parameters.,medium,"{""technical_terms"": [""gradient"", ""descent"", ""optimization""], ""concepts"": [""cost function"", ""parameters""], ""implementation"": [""learning rate adjustment"", ""gradient descent""], ""best_practices"": [""adaptive learning rates"", ""momentum"", ""parameter tuning""]}"
What are decision trees?,Decision trees are a supervised learning algorithm used for classification and regression tasks by splitting data based on feature values.,easy,"{""technical_terms"": [""decision trees"", ""classification"", ""regression""], ""concepts"": [""feature splitting"", ""tree structure""], ""implementation"": [""gini index"", ""entropy""], ""best_practices"": [""pruning"", ""depth control"", ""parameter tuning""]}"
What is overfitting in machine learning?,"Overfitting occurs when a model learns the training data too well, capturing noise and losing generalization ability.",hard,"{""technical_terms"": [""overfitting"", ""generalization""], ""concepts"": [""training data"", ""noise""], ""implementation"": [""regularization"", ""early stopping""], ""best_practices"": [""cross-validation"", ""simpler models"", ""dropout""]}"
What is reinforcement learning?,Reinforcement learning is a type of machine learning where agents learn to make decisions by taking actions in an environment to maximize cumulative reward.,medium,"{""technical_terms"": [""reinforcement"", ""learning"", ""reward""], ""concepts"": [""decision making"", ""agent""], ""implementation"": [""Q-learning"", ""policy gradient""], ""best_practices"": [""exploration-exploitation tradeoff"", ""reward shaping"", ""early stopping""]}"
What is transfer learning?,"Transfer learning involves using a pre-trained model on a new, related task to leverage learned features and reduce training time.",easy,"{""technical_terms"": [""transfer learning"", ""pre-trained""], ""concepts"": [""feature reuse"", ""training time""], ""implementation"": [""fine-tuning"", ""domain adaptation""], ""best_practices"": [""selecting suitable pre-trained models"", ""freezing layers"", ""data augmentation""]}"
What are support vector machines (SVM)?,SVMs are supervised learning models used for classification and regression by finding the hyperplane that best separates data.,medium,"{""technical_terms"": [""support vector machines"", ""classification"", ""regression"", ""support vectors"", ""kernel""], ""concepts"": [""hyperplane"", ""support vectors""], ""implementation"": [""kernel trick"", ""support vector training""], ""best_practices"": [""choosing the right kernel"", ""parameter tuning"", ""dropout""]}"
What is the role of a learning rate in machine learning?,The learning rate controls the step size of the updates to model parameters during training.,easy,"{""technical_terms"": [""learning rate"", ""training""], ""concepts"": [""step size"", ""parameter updates""], ""implementation"": [""gradient descent""], ""best_practices"": [""learning rate scheduling"", ""small values"", ""adaptive learning rates""]}"
